comp_name	index	attr_name	attr_type	note
AchievementFilter	0			
AchievementFilter	1	m_ValidFor	Colossal.PSI.Common.AchievementId[]	
AchievementFilter	2	m_NotValidFor	Colossal.PSI.Common.AchievementId[]	
ActivityLocation	0			
ActivityLocation	1	m_Locations	Game.Prefabs.ActivityLocation+LocationInfo[]	
ActivityLocation	2	m_InvertWhen	Game.Prefabs.NetInvertMode	
ActivityLocation	3	m_AnimatedPropName	System.String	
ActivityLocation	4	m_RequireAuthorization	System.Boolean	
ActivityLocationPrefab	0			
ActivityLocationPrefab	1	m_Activities	Game.Prefabs.ActivityType[]	
ActivityPropPrefab	0			
ActivityPropPrefab	1	m_BoneCount	System.Int32	
ActivityPropPrefab	2	m_Animations	Game.Prefabs.ActivityPropPrefab+AnimationInfo[]	
ActivityPropPrefab	3	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
ActivityPropPrefab	4	m_Circular	System.Boolean	
AdministrationBuilding	0			
AgeStatistic	0			
AgeStatistic	1	m_AgeGroups	Game.Prefabs.PopulationAgeGroupInfo[]	
AgeStatistic	2	m_Category	Game.Prefabs.UIStatisticsCategoryPrefab	
AgeStatistic	3	m_Group	Game.Prefabs.UIStatisticsGroupPrefab	
AgeStatistic	4	m_StatisticsType	Game.City.StatisticType	
AgeStatistic	5	m_CollectionType	Game.City.StatisticCollectionType	
AgeStatistic	6	m_UnitType	Game.City.StatisticUnitType	
AgeStatistic	7	m_Color	UnityEngine.Color	
AgeStatistic	8	m_Stacked	System.Boolean	
AggregateNetPrefab	0			
AirplanePrefab	0			
AirplanePrefab	1	m_FlyingSpeed	Unity.Mathematics.float2	
AirplanePrefab	2	m_FlyingAcceleration	System.Single	
AirplanePrefab	3	m_FlyingBraking	System.Single	
AirplanePrefab	4	m_FlyingTurning	System.Single	
AirplanePrefab	5	m_FlyingAngularAcceleration	System.Single	
AirplanePrefab	6	m_ClimbAngle	System.Single	
AirplanePrefab	7	m_SlowPitchAngle	System.Single	
AirplanePrefab	8	m_TurningRollFactor	System.Single	
AirplanePrefab	9	m_SizeClass	Game.Vehicles.SizeClass	
AirplanePrefab	10	m_GroundMaxSpeed	System.Single	
AirplanePrefab	11	m_GroundAcceleration	System.Single	
AirplanePrefab	12	m_GroundBraking	System.Single	
AirplanePrefab	13	m_GroundTurning	Unity.Mathematics.float2	
AirplanePrefab	14	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
AirplanePrefab	15	m_Circular	System.Boolean	
AmbienceEmitterPrefab	0			
AmbienceEmitterPrefab	1	m_AmbienceType	Game.Simulation.GroupAmbienceType	
AmbienceEmitterPrefab	2	m_Intensity	System.Single	
Ambulance	0			
